,playerID,stint,2B,3B,A,AB,BB,CS,DP,E,GIDP,H,HBP,HR,IBB,InnOuts,PB,PO,R,RBI,SB,SF,SH,SO,WP,ZR,HOF
3830,gallajo02,6.0,26.0,5.0,11.0,487.0,26.0,1.0,2.0,12.0,11.0,133.0,3.0,16.0,0.0,0.0,0.0,219.0,73.0,73.0,4.0,0.0,9.0,76.0,0.0,0.0,0.0
3831,gantejo01,7.0,20.0,6.0,281.0,545.0,43.0,5.0,41.0,31.0,6.0,148.0,3.0,8.0,0.0,0.0,0.0,235.0,68.0,59.0,2.0,0.0,6.0,43.0,0.0,0.0,0.0
3832,gedeoel01,1.0,0.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
3833,glossal01,16.0,29.0,2.0,741.0,952.0,89.0,0.0,134.0,69.0,11.0,199.0,5.0,15.0,0.0,0.0,0.0,552.0,99.0,86.0,5.0,0.0,12.0,105.0,0.0,0.0,0.0
3834,gustifr01,25.0,222.0,47.0,3323.0,4582.0,369.0,1.0,536.0,319.0,125.0,1214.0,15.0,38.0,0.0,0.0,0.0,2243.0,553.0,480.0,60.0,0.0,71.0,427.0,0.0,0.0,0.0
3835,hafeyto01,3.0,12.0,1.0,131.0,270.0,11.0,0.0,10.0,8.0,6.0,67.0,0.0,6.0,0.0,0.0,0.0,70.0,38.0,28.0,1.0,0.0,2.0,48.0,0.0,0.0,0.0
3836,hartjch01,1.0,1.0,0.0,1.0,16.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3837,hodgira01,8.0,79.0,24.0,352.0,1689.0,97.0,10.0,29.0,36.0,47.0,481.0,17.0,4.0,0.0,0.0,0.0,703.0,198.0,188.0,7.0,0.0,19.0,63.0,0.0,0.0,0.0
3838,hoppjo01,41.0,216.0,74.0,267.0,4260.0,464.0,1.0,343.0,79.0,60.0,1262.0,19.0,46.0,0.0,0.0,0.0,5263.0,698.0,458.0,128.0,0.0,61.0,378.0,0.0,0.0,0.0
3839,huberot01,2.0,1.0,0.0,12.0,22.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
